SK_ID_CURR,TARGET,CODE_GENDER,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_INCOME_TYPE,OCCUPATION_TYPE,CNT_FAM_MEMBERS,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_HOUSING_TYPE,EXT_SOURCE_2,EXT_SOURCE_3,REGION_RATING_CLIENT,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AGE,YEARS_EMPLOYED
100002,1,M,0,202500.0,406597.5,24700.5,351000.0,Secondary,Single,Working,Laborers,1.0,N,Y,House / apartment,0.2629485927471776,0.1393757800997895,2.0,0.0,0.0,1.0,25,1
100003,0,F,0,270000.0,1293502.5,35698.5,1129500.0,Higher education,Married,State servant,Core staff,2.0,N,N,House / apartment,0.6222457752555098,0.5352762504724826,1.0,0.0,0.0,0.0,45,3
100004,0,M,0,67500.0,135000.0,6750.0,135000.0,Secondary,Single,Working,Laborers,1.0,Y,Y,House / apartment,0.5559120833904428,0.7295666907060153,2.0,0.0,0.0,0.0,52,0
100006,0,F,0,135000.0,312682.5,29686.5,297000.0,Secondary,Civil marriage,Working,Laborers,2.0,N,Y,House / apartment,0.6504416904014653,0.5352762504724826,2.0,0.0,0.0,0.0,52,8
100007,0,M,0,121500.0,513000.0,21865.5,513000.0,Secondary,Single,Working,Core staff,1.0,N,Y,House / apartment,0.3227382869704046,0.5352762504724826,2.0,0.0,0.0,0.0,54,8
100008,0,M,0,99000.0,490495.5,27517.5,454500.0,Secondary,Married,State servant,Laborers,2.0,N,Y,House / apartment,0.3542247319929012,0.6212263380626669,2.0,0.0,1.0,1.0,46,4
100009,0,F,1,171000.0,1560726.0,41301.0,1395000.0,Higher education,Married,Commercial associate,Accountants,3.0,Y,Y,House / apartment,0.7239998516953141,0.4920600938649263,2.0,1.0,1.0,2.0,37,8
100010,0,M,0,360000.0,1530000.0,42075.0,1530000.0,Higher education,Married,State servant,Managers,2.0,Y,Y,House / apartment,0.7142792864482229,0.5406544504453575,3.0,0.0,0.0,0.0,51,1
100011,0,F,0,112500.0,1019610.0,33826.5,913500.0,Secondary,Married,Pensioner,Unknown,2.0,N,Y,House / apartment,0.2057472880073281,0.7517237147741489,2.0,0.0,0.0,1.0,55,1000
100012,0,M,0,135000.0,405000.0,20250.0,405000.0,Secondary,Single,Working,Laborers,1.0,N,Y,House / apartment,0.7466436294590924,0.5352762504724826,2.0,0.0,0.0,0.0,39,5
100014,0,F,1,112500.0,652500.0,21177.0,652500.0,Higher education,Married,Working,Core staff,3.0,N,Y,House / apartment,0.6518623334244781,0.363945238612397,2.0,1.0,0.0,0.0,27,1
100015,0,F,0,38419.155,148365.0,10678.5,135000.0,Secondary,Married,Pensioner,Unknown,2.0,N,Y,House / apartment,0.5551831615131809,0.6528965519806539,2.0,0.0,0.0,2.0,55,1000
100016,0,F,0,67500.0,80865.0,5881.5,67500.0,Secondary,Married,Working,Laborers,2.0,N,Y,House / apartment,0.7150418188660659,0.1766525794312139,2.0,1.0,0.0,0.0,36,7
100017,0,M,1,225000.0,918468.0,28966.5,697500.0,Secondary,Married,Working,Drivers,3.0,Y,N,House / apartment,0.5669066132460429,0.7700870700124128,2.0,0.0,0.0,1.0,38,8
100018,0,F,0,189000.0,773680.5,32778.0,679500.0,Secondary,Married,Working,Laborers,2.0,N,Y,House / apartment,0.6426562048311103,0.5352762504724826,2.0,0.0,0.0,0.0,39,0
